bibcode,title,year,month,journal,volume,page,n_authors,n_colombian_authors,num_citations,keywords,doi,arxiv_id,url
2018MNRAS.474...12F,Modelling the gas kinematics of an atypical Ly α emitting compact dwarf galaxy,2018,2,Monthly Notices of the Royal Astronomical Society,474,12,5,2,2,radiative transfer; methods: numerical; galaxies: dwarf; galaxies: individual: Tololo 1214-277; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/stx2699,arXiv:1710.05534,https://ui.adsabs.harvard.edu/abs/2018MNRAS.474...12F
2018ApJ...853L..29A,An Indication of Anisotropy in Arrival Directions of Ultra-high-energy Cosmic Rays through Comparison to the Flux Pattern of Extragalactic Gamma-Ray Sources,2018,2,The Astrophysical Journal Letters,853,L29,200,1,240,astroparticle physics; cosmic rays; galaxies: active; galaxies: starburst; methods: data analysis; Astrophysics - High Energy Astrophysical Phenomena; Astrophysics - Cosmology and Nongalactic Astrophysics,10.3847/2041-8213/aaa66d,arXiv:1801.06160,https://ui.adsabs.harvard.edu/abs/2018ApJ...853L..29A
2018P&SS..152...55Z,Magnetic properties of Proxima Centauri b analogues,2018,3,Planetary and Space Science,152,55,2,1,15,Planets and satellites: magnetic fields; Planets and satellites: fundamental parameters; Planets and satellites: individual (Proxima Centauri b); Astrophysics - Earth and Planetary Astrophysics,10.1016/j.pss.2018.01.006,arXiv:1609.00707,https://ui.adsabs.harvard.edu/abs/2018P&SS..152...55Z
2018MNRAS.474.3162T,Redshift determination of the BL Lac object 3C 66A by the detection of its host galaxy cluster at z = 0.340,2018,3,Monthly Notices of the Royal Astronomical Society,474,3162,5,1,26,BL Lacertae objects: individual: 3C66A; galaxies: clusters: general; galaxies: distances and redshifts; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/stx2561,arXiv:1710.04309,https://ui.adsabs.harvard.edu/abs/2018MNRAS.474.3162T
2018ApJ...855...19I,On the Vortex Waves in Nonadiabatic Flows,2018,3,The Astrophysical Journal,855,19,2,2,3,hydrodynamics; instabilities; waves,10.3847/1538-4357/aaaa22,,https://ui.adsabs.harvard.edu/abs/2018ApJ...855...19I
2018GReGr..50...45G,Exact relativistic models of conformastatic charged dust thick disks,2018,4,General Relativity and Gravitation,50,45,1,1,1,General relativity; Einstein-Maxwell equations; Thick disks; General Relativity and Quantum Cosmology,10.1007/s10714-018-2366-4,arXiv:1804.01419,https://ui.adsabs.harvard.edu/abs/2018GReGr..50...45G
2018JCAP...05..068G,Degeneracy in the spectrum and bispectrum among featured inflaton potentials,2018,5,Journal of Cosmology and Astroparticle Physics,2018,068,3,2,5,Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/1475-7516/2018/05/068,arXiv:1703.04621,https://ui.adsabs.harvard.edu/abs/2018JCAP...05..068G
2018JCAP...05..041S,Newton gauge cosmological perturbations for static spherically symmetric modifications of the de Sitter metric,2018,5,Journal of Cosmology and Astroparticle Physics,2018,041,2,2,7,General Relativity and Quantum Cosmology; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/1475-7516/2018/05/041,arXiv:1611.09223,https://ui.adsabs.harvard.edu/abs/2018JCAP...05..041S
2018MNRAS.477.1970Z,Towards a theoretical determination of the geographical probability distribution of meteoroid impacts on Earth,2018,6,Monthly Notices of the Royal Astronomical Society,477,1970,2,2,7,methods: numerical; meteorites; meteors; meteoroids; Astrophysics - Earth and Planetary Astrophysics,10.1093/mnras/sty702,arXiv:1801.05720,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.1970Z
2018GReGr..50...76N,General relativistic razor-thin disks with magnetically polarized matter,2018,6,General Relativity and Gravitation,50,76,3,3,2,Classical general relativity; Self-gravitating systems; Continuous media and classical fields in curved spacetime; General theory in fluid dynamics; General Relativity and Quantum Cosmology; Astrophysics - Astrophysics of Galaxies,10.1007/s10714-018-2395-z,arXiv:1806.02280,https://ui.adsabs.harvard.edu/abs/2018GReGr..50...76N
2018AJ....155..236Z,A General Method for Assessing the Origin of Interstellar Small Bodies: The Case of 1I/2017 U1 (‘Oumuamua),2018,6,The Astronomical Journal,155,236,4,4,21,local interstellar matter; methods: numerical; minor planets; asteroids: individual: 1I&amp;2017 U1; Astrophysics - Earth and Planetary Astrophysics,10.3847/1538-3881/aabd7c,arXiv:1711.09397,https://ui.adsabs.harvard.edu/abs/2018AJ....155..236Z
2018MNRAS.477.5388Z,Orbit classification in an equal-mass non-spinning binary black hole pseudo-Newtonian system,2018,7,Monthly Notices of the Royal Astronomical Society,477,5388,3,2,10,black hole physics; chaos; methods: numerical; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/sty946,arXiv:1808.00055,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.5388Z
2018GrCo...24..224B,The Dirac Equation in the Kerr-de Sitter Metric,2018,7,Gravitation and Cosmology,24,224,4,2,2,,10.1134/S0202289318030040,,https://ui.adsabs.harvard.edu/abs/2018GrCo...24..224B
2018ApJ...861..115P,Numerical General Relativistic MHD with Magnetically Polarized Matter,2018,7,The Astrophysical Journal,861,115,3,3,7,magnetohydrodynamics: MHD; methods: numerical; relativity; Astrophysics - High Energy Astrophysical Phenomena; General Relativity and Quantum Cosmology,10.3847/1538-4357/aac6d0,arXiv:1806.02266,https://ui.adsabs.harvard.edu/abs/2018ApJ...861..115P
2018MNRAS.478.5533F,We are not the 99 percent: quantifying asphericity in the distribution of Local Group satellites,2018,8,Monthly Notices of the Royal Astronomical Society,478,5533,2,2,16,dark matter; Local Group; methods: numerical; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/sty1349,arXiv:1805.03188,https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.5533F
